timestamp,active_users,conversion_rate,latency_ms,error_rate,focus_minutes
2026-07-01 09:00,182,0.042,184,0.004,48
2026-07-01 10:00,211,0.047,176,0.003,52
2026-07-01 11:00,236,0.051,169,0.003,57
2026-07-01 12:00,198,0.044,207,0.008,39
2026-07-01 13:00,174,0.039,221,0.010,33
2026-07-01 14:00,249,0.056,162,0.002,61
2026-07-01 15:00,282,0.061,158,0.002,64
2026-07-01 16:00,267,0.058,171,0.004,59
2026-07-01 17:00,303,0.067,155,0.002,68
2026-07-01 18:00,258,0.054,193,0.006,51
2026-07-01 19:00,221,0.049,214,0.009,44
2026-07-01 20:00,195,0.043,238,0.016,36
2026-07-01 21:00,188,0.041,245,0.019,31
2026-07-01 22:00,232,0.052,189,0.005,55
